Hyderabad/ABCFGHKLM
Warangal/BCDHIJNOP
Nizamabad/AEFGQRSUV
Karimnagar/BCGHJKLWX
Khammam/ABDEFTUVW

//
Hyderabad
101 ABC
102 BCA
103 ACF
104 BHG
105 GAK
106 ABFG
107 ZAB
108
109 ABC
110 ACF
//
Warangal
201 BCD
202 CDB
203 NOP
204 BHI
205 DHI
206 BOP
207 JIN
208 201ABC
209 101BCD
210 BC
//
Nizamabad
301 AEF
302 FQA
303 RSE
304 SUV
305 UVE
306 GQR
307 AES
308 AEF
309 AEGT
310 SEQ
//
Karimnagar
401 BCJ
402 GHJ
403 LWK
404 GKJ
405 BCG
406 KHL
407 KJW
408 JKL
409 BG
410 LWKX
//
Khammam
501 ABD
502 DEU
503 TUV
504 ABT
505 DEF
506 UVW
507 TUA
508 BDF
509 ABF
510 AUV
511 301ABC
&&
